Lon,Lat,label,DEM,slope,slope_aspect,SPI,TWI,plan_curvature,general_curvature,soiltype,landcover,distance_to_river
-0.638926745830009,8.216216167378175,0,83.0,0.46405,90.0,690.05371,12.766,0.0,-1e-05,WR,20.0,800.0
-0.6366809576197099,8.216216167378175,0,83.0,1.46716,288.43494,727.38049,10.5369,0.03424,0.00094,WR,40.0,800.0
-0.6344351694094126,8.216216167378175,0,82.0,1.03755,63.43495,670.61169,10.61816,0.02318,0.00207,WR,90.0,800.0
-0.6321893811991135,8.216216167378175,0,83.0,3.37449,344.0546,1184.08948,10.04962,0.04393,0.0085,WR,30.0,800.0
-0.6299435929888144,8.216216167378175,1,77.0,0.46405,90.0,1138.53064,13.95384,0.0,0.0,WR,80.0,400.0
-0.6276978047785153,8.216216167378175,0,75.0,0.0,,7389.52783,13.60537,0.0,0.0,WR,80.0,400.0
-0.6254520165682163,8.216216167378175,0,75.0,0.0,,11330.60938,14.03208,0.0,0.0,WR,80.0,400.0
-0.6232062283579172,8.216216167378175,1,75.0,0.0,,15271.69043,14.33022,0.0,0.0,WR,90.0,400.0
-0.6209604401476199,8.216216167378175,1,75.0,0.0,,19212.77148,14.55958,0.0,0.0,WR,90.0,400.0
-0.6187146519373208,8.216216167378175,1,75.0,0.0,,23153.85352,14.74603,0.0,0.0,WR,90.0,400.0
-0.6164688637270217,8.216216167378175,1,75.0,0.0,,27094.93555,14.90311,0.0,0.0,WR,90.0,400.0
-0.6142230755167226,8.216216167378175,1,75.0,0.0,,31036.01563,15.03884,0.0,0.0,WR,90.0,400.0
-0.6119772873064235,8.216216167378175,1,75.0,0.0,,34977.09766,15.15833,0.0,0.0,WR,80.0,400.0
-0.6097314990961245,8.216216167378175,1,75.0,0.0,,38918.18359,15.26505,0.0,0.0,WR,90.0,400.0
-0.6074857108858271,8.216216167378175,1,75.0,0.0,,42859.26172,15.36147,0.0,0.0,WR,90.0,400.0
-0.6052399226755281,8.216216167378175,0,75.0,0.0,,46800.34375,15.44941,0.0,0.0,WR,80.0,400.0
-0.602994134465229,8.216216167378175,0,75.0,0.0,,50741.42578,15.53024,0.0,0.0,WR,80.0,400.0
-0.6007483462549299,8.216216167378175,0,75.0,0.0,,55175.14063,15.61398,0.0,0.0,WR,80.0,400.0
-0.5985025580446308,8.216216167378175,0,75.0,0.0,,59116.22266,15.68296,0.0,0.0,WR,80.0,400.0
-0.5962567698343317,8.216216167378175,0,75.0,0.0,,63057.30469,15.74748,0.0,0.0,WR,80.0,400.0
-0.5940109816240327,8.216216167378175,0,75.0,0.0,,66998.38281,15.80809,0.0,0.0,WR,80.0,400.0
-0.641172534040308,8.213970379167876,0,90.0,1.96806,45.0,1951.76648,10.92059,0.01149,-1e-05,WR,20.0,800.0
-0.638926745830009,8.213970379167876,0,83.0,0.7337,71.56505,17820.82227,15.09114,-0.06485,-0.00314,WR,20.0,800.0
-0.6366809576197099,8.213970379167876,0,78.0,0.65625,315.0,975.88342,12.41942,-0.01347,-0.0,WR,30.0,800.0
-0.6344351694094126,8.213970379167876,0,77.0,3.95861,110.55605,5563.38867,10.6788,-0.00164,-0.00035,WR,90.0,400.0
-0.6321893811991135,8.213970379167876,0,77.0,0.0,,5418.98682,13.29599,0.0,0.0,WR,90.0,400.0
-0.6299435929888144,8.213970379167876,1,78.0,0.32814,45.0,9360.06836,13.84132,0.0,0.0,WR,90.0,400.0
-0.6276978047785153,8.213970379167876,1,76.0,5.96632,324.46231,14840.10938,9.69768,-0.01146,-0.0107,WR,90.0,100.0
-0.6254520165682163,8.213970379167876,1,76.0,2.70389,210.96375,5998.13135,11.17629,-0.00312,0.0,WR,90.0,100.0
-0.6232062283579172,8.213970379167876,1,85.0,2.29574,45.0,1138.5304,10.08886,0.08971,0.01168,WR,90.0,100.0
-0.6209604401476199,8.213970379167876,1,77.0,3.70729,0.0,25761.99219,12.2187,0.0,0.0,WR,90.0,100.0
