Flood_ID,Lon,Lat,Duration,Max_Duration,Event_Start_Date,Event_End_Date,Mean_Rainfall,Median_Rainfall,Max_Continuous_Rainy_Days,Max_Continuous_Rainfall,Max_Single_Day_Rainfall,Max_Rainfall_Increase,DEM,slope,slope_aspect,SPI,STI,TWI,plan_curvature,general_curvature,soiltype,landcover,distance_to_river,label
ROI1_2320,-0.6343453378809993,8.145788249103203,1,26,2003-08-10,2003-09-05,7.1619251141181355,2.8050293922424316,3,50.14479637145996,30.086877822875977,25.31631088256836,76.0,0.32814,45.0,975.88342,,13.80044,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.8019709698977024,8.405042040100097,13,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156,77.0,0.92804,180.0,1840.14319,,12.3579,0.0,0.0,WR,90.0,800.0,1
ROI1_2320,-0.7348668181739733,8.398574170054436,6,26,2003-08-10,2003-09-05,8.176556403820332,0.0,4,54.68508052825928,41.01380920410156,31.021331787109375,75.0,0.0,,1970.54077,,12.28943,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.7063003921389726,8.296435722250047,16,26,2003-08-10,2003-09-05,7.69985110943134,0.0,2,61.4714412689209,40.980960845947266,28.534181594848633,75.0,0.0,,126607.24219,,16.4444,0.0,0.0,WR,80.0,1200.0,1
ROI1_2320,-0.7712485871808141,8.336859910035425,7,26,2003-08-10,2003-09-05,7.445835406963642,0.0,2,63.75347900390625,42.5023193359375,29.385351181030273,75.0,0.0,,25617.03125,,14.84706,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.6607558072341142,8.12584564979575,2,26,2003-08-10,2003-09-05,6.981021862763625,2.95322847366333,3,46.875505447387695,28.125303268432617,24.525421142578125,75.0,0.0,,8374.79785,,13.73029,0.0,0.0,WR,90.0,800.0,1
ROI1_2320,-0.6809679011268024,8.35222110139387,14,26,2003-08-10,2003-09-05,7.925996010120098,0.0,2,50.486684799194336,28.849533081054688,28.849533081054688,75.0,0.0,,29065.47656,,14.97328,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.8089778291138341,8.421211715214248,12,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156,81.0,2.70389,239.03624,2682.44604,,10.60259,-0.03448,-0.002,WR,80.0,2000.0,1
ROI1_2320,-0.7893047243916165,8.391297816253068,15,26,2003-08-10,2003-09-05,8.08025939647968,0.0,3,56.72393226623535,42.54294967651367,35.24848556518555,75.0,0.0,,14779.05566,,14.29746,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.8259559879836935,8.492627780301751,7,26,2003-08-10,2003-09-05,8.331206174997183,0.0,2,65.36454582214355,40.852840423583984,40.852840423583984,80.0,0.7337,251.56505,363.69025,8.59086,11.23005,0.0,0.00105,WR,90.0,400.0,1
ROI1_2320,-0.4796554459556184,8.106172545073532,1,26,2003-08-10,2003-09-05,7.695442786583533,0.0,2,56.5498161315918,33.92988967895508,27.512983322143555,77.0,0.32814,135.0,162.64725,,12.03477,0.02672,1e-05,WR,90.0,100.0,1
ROI1_2320,-0.7938861323406261,8.379170559917455,3,26,2003-08-10,2003-09-05,8.08025939647968,0.0,3,56.72393226623535,42.54294967651367,35.24848556518555,75.0,0.7337,18.43495,727.38049,13.02131,11.90763,0.00039,0.0,WR,90.0,400.0,1
ROI1_2320,-0.4435431715340137,8.166269837581128,2,26,2003-08-10,2003-09-05,8.025999527711134,0.0,2,60.79142761230469,39.16219711303711,39.16219711303711,75.0,0.0,,449283.28125,,17.71087,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.7893047243916165,8.403155578003446,16,26,2003-08-10,2003-09-05,8.132007158719576,0.0,3,61.36130714416504,42.51144790649414,35.06360626220703,81.0,1.67271,123.69006,1238.6842,1.36444,10.00455,0.01695,0.00204,WR,80.0,400.0,1
ROI1_2320,-0.6362317999776508,8.149022184126034,1,26,2003-08-10,2003-09-05,7.1619251141181355,2.8050293922424316,3,50.14479637145996,30.086877822875977,25.31631088256836,75.0,0.0,,67491.02344,,15.81541,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.7984675402896357,8.405850523855804,14,26,2003-08-10,2003-09-05,8.132007158719576,0.0,3,61.36130714416504,42.51144790649414,35.06360626220703,80.0,1.85559,270.0,3680.28638,19.38088,11.66475,0.0,0.0,WR,80.0,1200.0,1
ROI1_2320,-0.6079348685278863,8.21289240082693,9,26,2003-08-10,2003-09-05,7.755191472860483,0.0,3,57.2408447265625,28.62042236328125,28.62042236328125,75.0,0.0,,954727.0,,18.46463,0.0,0.0,WR,80.0,100.0,1
ROI1_2320,-0.586105807123781,8.128001606477637,5,26,2003-08-10,2003-09-05,7.1424943116995,0.0,3,51.03672218322754,38.27754211425781,25.518362045288086,75.0,0.0,,87196.42969,,16.07153,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.7227395618383596,8.382943484110758,17,26,2003-08-10,2003-09-05,8.176556403820332,0.0,4,54.68508052825928,41.01380920410156,31.021331787109375,77.0,0.32814,225.0,1138.53064,,13.95384,0.0,0.0,WR,90.0,800.0,1
ROI1_2320,-0.8440121251944959,8.469990235141939,3,26,2003-08-10,2003-09-05,8.331206174997183,0.0,2,65.36454582214355,40.852840423583984,40.852840423583984,81.0,0.0,,492.63519,,10.92659,0.02305,1e-05,WR,90.0,800.0,1
ROI1_2320,-0.7529229553847756,8.331470018330709,7,26,2003-08-10,2003-09-05,7.445835406963642,0.0,2,63.75347900390625,42.5023193359375,29.385351181030273,75.0,0.0,,25617.03125,,14.84706,0.0,0.0,WR,80.0,1600.0,1
ROI1_2320,-0.6602168180636419,8.313952870290377,21,26,2003-08-10,2003-09-05,8.212686502016508,0.0,2,69.47854614257812,46.31903076171875,26.310840606689453,75.0,0.0,,62072.03125,,15.73174,0.0,0.0,WR,80.0,2000.0,1
ROI1_2320,-0.7146547242812851,8.290506841374858,10,26,2003-08-10,2003-09-05,7.69985110943134,0.0,2,61.4714412689209,40.980960845947266,28.534181594848633,75.0,0.0,,83255.35156,,16.02529,0.0,0.0,WR,80.0,1600.0,1
ROI1_2320,-0.8100558074547788,8.483734458988968,7,26,2003-08-10,2003-09-05,8.331206174997183,0.0,2,65.36454582214355,40.852840423583984,40.852840423583984,81.0,0.46405,0.0,690.05371,,12.766,-4.1602,-1e-05,WR,90.0,1200.0,1
ROI1_2320,-0.8046659157500606,8.40423355634439,9,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156,76.0,0.92804,180.0,4140.32227,,13.16442,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.7720570709365226,8.073024711089522,1,26,2003-08-10,2003-09-05,7.371401695104746,0.0,3,39.38485336303711,28.132038116455078,28.132038116455078,81.0,1.18295,168.69006,11728.6582,33.25538,13.71824,-3e-05,-0.00056,WR,90.0,800.0,1
ROI1_2320,-0.563468261963969,8.236068935157215,21,26,2003-08-10,2003-09-05,7.872383080996,0.0,2,59.27493095397949,39.51662063598633,27.94959259033203,75.0,0.0,,152716.90625,,16.63187,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.3764390198102845,8.178127599331507,4,26,2003-08-10,2003-09-05,8.04424705872169,0.0,3,48.998809814453125,28.912710189819336,27.999319076538086,75.0,0.0,,34977.09766,,15.15833,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.842934146853553,8.444388249544533,7,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156,75.0,0.0,,5911.62256,,13.38276,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.6736915473254346,8.265174350362688,6,26,2003-08-10,2003-09-05,8.413818469414345,0.0,3,64.13628387451172,42.75752258300781,29.604080200195312,75.0,0.0,,31036.01563,,15.03884,0.0,0.0,WR,90.0,1200.0,1
ROI1_2320,-0.8437426306092597,8.470798718897646,3,26,2003-08-10,2003-09-05,8.331206174997183,0.0,2,65.36454582214355,40.852840423583984,40.852840423583984,81.0,0.0,,492.63519,,10.92659,0.0,0.0,WR,90.0,800.0,1
ROI1_2320,-0.8060133886762397,8.424984639407551,13,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156,80.0,3.29412,39.28941,7867.8208,,11.71325,0.00086,-0.00092,WR,90.0,3000.0,1
ROI1_2320,-0.7642417279646825,8.124767671454807,1,26,2003-08-10,2003-09-05,7.4247894287109375,0.0,3,40.087772369384766,28.634122848510742,28.634122848510742,80.0,0.92804,180.0,18861.46875,,14.67801,0.01347,0.0,WR,90.0,800.0,1
ROI1_2320,-0.7933471431701555,8.392645289179248,15,26,2003-08-10,2003-09-05,8.08025939647968,0.0,3,56.72393226623535,42.54294967651367,35.24848556518555,75.0,0.0,,25617.03125,,14.84706,0.0,0.0,WR,90.0,100.0,1
ROI1_2320,-0.6949816195590675,8.345753231348208,18,26,2003-08-10,2003-09-05,8.212686502016508,0.0,2,69.47854614257812,46.31903076171875,26.310840606689453,75.0,0.0,,112320.82031,,16.32469,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.7316328831511445,8.392645289179248,10,26,2003-08-10,2003-09-05,8.176556403820332,0.0,4,54.68508052825928,41.01380920410156,31.021331787109375,75.0,0.0,,6404.25781,,13.4626,0.0,0.0,WR,90.0,800.0,1
ROI1_2320,-0.7693621250841645,8.358419476854294,3,26,2003-08-10,2003-09-05,8.08025939647968,0.0,3,56.72393226623535,42.54294967651367,35.24848556518555,75.0,0.0,,8374.79785,,13.73029,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.8073608616024188,8.423637166481372,14,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156,79.0,4.36943,237.99461,735624.25,,15.23859,-0.035,-0.00201,WR,80.0,3000.0,1
ROI1_2320,-0.5780209695667047,8.129618573989053,6,26,2003-08-10,2003-09-05,7.1424943116995,0.0,3,51.03672218322754,38.27754211425781,25.518362045288086,75.0,0.0,,33991.82813,,15.12977,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.7114207892584545,8.312066408193727,19,26,2003-08-10,2003-09-05,7.887873209439791,0.0,2,67.20296287536621,44.80197525024414,26.104032516479492,75.0,0.0,,52711.96484,,15.56833,0.0,0.0,WR,80.0,800.0,1
ROI1_2320,-0.7601993091861452,8.403425072588682,21,26,2003-08-10,2003-09-05,8.132007158719576,0.0,3,61.36130714416504,42.51144790649414,35.06360626220703,75.0,0.0,,152716.90625,,16.63187,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.6965985870704827,8.29427976556816,16,26,2003-08-10,2003-09-05,8.413818469414345,0.0,3,64.13628387451172,42.75752258300781,29.604080200195312,75.0,0.0,,47292.98047,,15.45988,0.0,0.0,WR,80.0,100.0,1
