Flood_ID,Lon,Lat,Flooded,Duration,Max_Duration,Event_Start_Date,Event_End_Date,Mean_Rainfall,Median_Rainfall,Max_Continuous_Rainy_Days,Max_Continuous_Rainfall,Max_Single_Day_Rainfall,Max_Rainfall_Increase
ROI1_2320,-0.7556179012371356,8.351143123052926,1,22,26,2003-08-10,2003-09-05,8.08025939647968,0.0,3,56.3975772857666,42.54294967651367,35.24848556518555
ROI1_2320,-0.827842450080345,8.431991498623683,1,7,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156
ROI1_2320,-0.7017189841899629,8.353299079734812,1,19,26,2003-08-10,2003-09-05,8.176556403820332,0.0,4,54.28732872009277,41.01380920410156,31.021331787109375
ROI1_2320,-0.8157151937447313,8.446274711641184,1,13,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156
ROI1_2320,-0.6618337855750571,8.323385180773633,1,17,26,2003-08-10,2003-09-05,8.212686502016508,0.0,2,46.04397201538086,46.31903076171875,26.310840606689453
ROI1_2320,-0.7858012947835515,8.389411354156417,1,16,26,2003-08-10,2003-09-05,8.08025939647968,0.0,3,56.3975772857666,42.54294967651367,35.24848556518555
ROI1_2320,-0.7327108614920874,8.11668283389773,1,6,26,2003-08-10,2003-09-05,6.825978609231802,0.0,3,31.277840614318848,26.996986389160156,26.996986389160156
ROI1_2320,-0.8100558074547788,8.408006480537692,1,10,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156
ROI1_2320,-0.6642592368421791,8.249813159004244,1,5,26,2003-08-10,2003-09-05,8.413818469414345,0.0,3,44.40612030029297,42.75752258300781,29.604080200195312
ROI1_2320,-0.8087083345285979,8.416630307265239,1,9,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156
ROI1_2320,-0.8259559879836935,8.441693303692174,1,11,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156
ROI1_2320,-0.6647982260126515,8.25789799656132,1,5,26,2003-08-10,2003-09-05,8.413818469414345,0.0,3,44.40612030029297,42.75752258300781,29.604080200195312
ROI1_2320,-0.7224700672531252,8.299669657272878,1,7,26,2003-08-10,2003-09-05,7.69985110943134,0.0,2,39.94785404205322,40.980960845947266,28.534181594848633
ROI1_2320,-0.8025099590681748,8.409084458878635,1,11,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156
ROI1_2320,-0.5702056265948663,8.160879945876411,1,6,26,2003-08-10,2003-09-05,8.064997416276197,0.0,3,35.462581634521484,44.76570510864258,26.59693717956543
ROI1_2320,-0.6224875761306219,8.215048357508818,1,2,26,2003-08-10,2003-09-05,7.755191472860483,0.0,3,36.78287887573242,28.62042236328125,28.62042236328125
ROI1_2320,-0.7235480455940682,8.319342761995095,1,17,26,2003-08-10,2003-09-05,7.887873209439791,0.0,2,45.68205642700195,44.80197525024414,26.104032516479492
ROI1_2320,-0.8170626666709104,8.415013339753823,1,7,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156
ROI1_2320,-0.8111337857957217,8.433338971549862,1,14,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156
ROI1_2320,-0.7259734968611902,8.289698357619152,1,4,26,2003-08-10,2003-09-05,7.69985110943134,0.0,2,39.94785404205322,40.980960845947266,28.534181594848633
ROI1_2320,-0.6343453378809993,8.145788249103203,1,1,26,2003-08-10,2003-09-05,7.1619251141181355,2.8050293922424316,3,33.75508117675781,30.086877822875977,25.31631088256836
ROI1_2320,-0.8019709698977024,8.405042040100097,1,13,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156
ROI1_2320,-0.7348668181739733,8.398574170054436,1,6,26,2003-08-10,2003-09-05,8.176556403820332,0.0,4,54.28732872009277,41.01380920410156,31.021331787109375
ROI1_2320,-0.7063003921389726,8.296435722250047,1,16,26,2003-08-10,2003-09-05,7.69985110943134,0.0,2,39.94785404205322,40.980960845947266,28.534181594848633
ROI1_2320,-0.7712485871808141,8.336859910035425,1,7,26,2003-08-10,2003-09-05,7.445835406963642,0.0,2,47.016563415527344,42.5023193359375,29.385351181030273
ROI1_2320,-0.6607558072341142,8.12584564979575,1,2,26,2003-08-10,2003-09-05,6.981021862763625,2.95322847366333,3,32.7005615234375,28.125303268432617,24.525421142578125
ROI1_2320,-0.6809679011268024,8.35222110139387,1,14,26,2003-08-10,2003-09-05,7.925996010120098,0.0,2,50.486684799194336,28.849533081054688,28.849533081054688
ROI1_2320,-0.8089778291138341,8.421211715214248,1,12,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156
ROI1_2320,-0.7893047243916165,8.391297816253068,1,15,26,2003-08-10,2003-09-05,8.08025939647968,0.0,3,56.3975772857666,42.54294967651367,35.24848556518555
ROI1_2320,-0.8259559879836935,8.492627780301751,1,7,26,2003-08-10,2003-09-05,8.331206174997183,0.0,2,65.36454582214355,40.852840423583984,40.852840423583984
ROI1_2320,-0.4796554459556184,8.106172545073532,1,1,26,2003-08-10,2003-09-05,7.695442786583533,0.0,2,36.683977127075195,33.92988967895508,27.512983322143555
